Country Name,Indicator Code,2005
Arab World,UIS.TE_100000.56,
Arab World,UIS.TE_100000.56.F,
Arab World,UIS.TE_100000.56.M,
East Asia & Pacific,UIS.TE_100000.56,
East Asia & Pacific,UIS.TE_100000.56.F,
East Asia & Pacific,UIS.TE_100000.56.M,
East Asia & Pacific (excluding high income),UIS.TE_100000.56,
East Asia & Pacific (excluding high income),UIS.TE_100000.56.F,
East Asia & Pacific (excluding high income),UIS.TE_100000.56.M,
Euro area,UIS.TE_100000.56,
Euro area,UIS.TE_100000.56.F,
Euro area,UIS.TE_100000.56.M,
Europe & Central Asia,UIS.TE_100000.56,
Europe & Central Asia,UIS.TE_100000.56.F,
Europe & Central Asia,UIS.TE_100000.56.M,
Europe & Central Asia (excluding high income),UIS.TE_100000.56,
Europe & Central Asia (excluding high income),UIS.TE_100000.56.F,
Europe & Central Asia (excluding high income),UIS.TE_100000.56.M,
European Union,UIS.TE_100000.56,
European Union,UIS.TE_100000.56.F,
European Union,UIS.TE_100000.56.M,
Heavily indebted poor countries (HIPC),UIS.TE_100000.56,
Heavily indebted poor countries (HIPC),UIS.TE_100000.56.F,
Heavily indebted poor countries (HIPC),UIS.TE_100000.56.M,
High income,UIS.TE_100000.56,
High income,UIS.TE_100000.56.F,
High income,UIS.TE_100000.56.M,
Latin America & Caribbean,UIS.TE_100000.56,
Latin America & Caribbean,UIS.TE_100000.56.F,
Latin America & Caribbean,UIS.TE_100000.56.M,
Latin America & Caribbean (excluding high income),UIS.TE_100000.56,
Latin America & Caribbean (excluding high income),UIS.TE_100000.56.F,
Latin America & Caribbean (excluding high income),UIS.TE_100000.56.M,
Least developed countries: UN classification,UIS.TE_100000.56,
Least developed countries: UN classification,UIS.TE_100000.56.F,
Least developed countries: UN classification,UIS.TE_100000.56.M,
Low & middle income,UIS.TE_100000.56,
Low & middle income,UIS.TE_100000.56.F,
Low & middle income,UIS.TE_100000.56.M,
Low income,UIS.TE_100000.56,
Low income,UIS.TE_100000.56.F,
Low income,UIS.TE_100000.56.M,
Lower middle income,UIS.TE_100000.56,
Lower middle income,UIS.TE_100000.56.F,
Lower middle income,UIS.TE_100000.56.M,
Middle East & North Africa,UIS.TE_100000.56,
Middle East & North Africa,UIS.TE_100000.56.F,
Middle East & North Africa,UIS.TE_100000.56.M,
Middle East & North Africa (excluding high income),UIS.TE_100000.56,
Middle East & North Africa (excluding high income),UIS.TE_100000.56.F,
Middle East & North Africa (excluding high income),UIS.TE_100000.56.M,
Middle income,UIS.TE_100000.56,
Middle income,UIS.TE_100000.56.F,
Middle income,UIS.TE_100000.56.M,
North America,UIS.TE_100000.56,
North America,UIS.TE_100000.56.F,
North America,UIS.TE_100000.56.M,
OECD members,UIS.TE_100000.56,
OECD members,UIS.TE_100000.56.F,
OECD members,UIS.TE_100000.56.M,
South Asia,UIS.TE_100000.56,
South Asia,UIS.TE_100000.56.F,
South Asia,UIS.TE_100000.56.M,
Sub-Saharan Africa,UIS.TE_100000.56,
Sub-Saharan Africa,UIS.TE_100000.56.F,
Sub-Saharan Africa,UIS.TE_100000.56.M,
Sub-Saharan Africa (excluding high income),UIS.TE_100000.56,
Sub-Saharan Africa (excluding high income),UIS.TE_100000.56.F,
Sub-Saharan Africa (excluding high income),UIS.TE_100000.56.M,
Upper middle income,UIS.TE_100000.56,
Upper middle income,UIS.TE_100000.56.F,
Upper middle income,UIS.TE_100000.56.M,
World,UIS.TE_100000.56,
World,UIS.TE_100000.56.F,
World,UIS.TE_100000.56.M,
Afghanistan,UIS.TE_100000.56,
Afghanistan,UIS.TE_100000.56.F,
Afghanistan,UIS.TE_100000.56.M,
Albania,UIS.TE_100000.56,2052.351318
Albania,UIS.TE_100000.56.F,2486.74707
Albania,UIS.TE_100000.56.M,1622.352051
Algeria,UIS.TE_100000.56,2381.037842
Algeria,UIS.TE_100000.56.F,2657.64502
Algeria,UIS.TE_100000.56.M,2110.18335
American Samoa,UIS.TE_100000.56,
American Samoa,UIS.TE_100000.56.F,
American Samoa,UIS.TE_100000.56.M,
Andorra,UIS.TE_100000.56,
Andorra,UIS.TE_100000.56.F,
Andorra,UIS.TE_100000.56.M,
Angola,UIS.TE_100000.56,268.9898682
Angola,UIS.TE_100000.56.F,
Angola,UIS.TE_100000.56.M,
Antigua and Barbuda,UIS.TE_100000.56,
Antigua and Barbuda,UIS.TE_100000.56.F,
Antigua and Barbuda,UIS.TE_100000.56.M,
Argentina,UIS.TE_100000.56,5320.094238
Argentina,UIS.TE_100000.56.F,6109.969727
Argentina,UIS.TE_100000.56.M,4495.25293
Armenia,UIS.TE_100000.56,3830.12207
Armenia,UIS.TE_100000.56.F,4464.374512
Armenia,UIS.TE_100000.56.M,3171.071289
Aruba,UIS.TE_100000.56,2105.347412
Aruba,UIS.TE_100000.56.F,2400.061035
Aruba,UIS.TE_100000.56.M,1780.384277
Australia,UIS.TE_100000.56,5053.638672
Australia,UIS.TE_100000.56.F,5494.130859
Australia,UIS.TE_100000.56.M,4611.380859
Austria,UIS.TE_100000.56,2967.99292
Austria,UIS.TE_100000.56.F,3098.477783
Austria,UIS.TE_100000.56.M,2830.00293
Azerbaijan,UIS.TE_100000.56,
Azerbaijan,UIS.TE_100000.56.F,
Azerbaijan,UIS.TE_100000.56.M,
"Bahamas, The",UIS.TE_100000.56,
"Bahamas, The",UIS.TE_100000.56.F,
"Bahamas, The",UIS.TE_100000.56.M,
Bahrain,UIS.TE_100000.56,2173.090576
Bahrain,UIS.TE_100000.56.F,3692.51123
Bahrain,UIS.TE_100000.56.M,1163.413574
Bangladesh,UIS.TE_100000.56,637.7947998
Bangladesh,UIS.TE_100000.56.F,434.7730103
Bangladesh,UIS.TE_100000.56.M,833.4068604
Barbados,UIS.TE_100000.56,
Barbados,UIS.TE_100000.56.F,
Barbados,UIS.TE_100000.56.M,
Belarus,UIS.TE_100000.56,5482.097656
